frame_callsign_id,frame_set,callsign_NP,command_VP
513,frame38,GIA730,use_callsign
514,frame38,TGW791,use_callsign
515,frame39,AXM272,use_callsign
516,frame39,EVA707,use_callsign
517,frame39,SIA966,use_callsign
518,frame39,GIA721,use_callsign
519,frame39,JSA450,use_callsign
520,frame39,THA935,use_callsign
521,frame39,ANA979,use_callsign
522,frame39,SIA688,use_callsign
523,frame39,SIA162,use_callsign
524,frame39,JAL219,use_callsign
525,frame39,THA845,use_callsign
526,frame39,TGW578,use_callsign
527,frame39,MAS547,use_callsign
528,frame39,CPA633,use_callsign
529,frame39,PAL498,use_callsign
530,frame39,GIA730,use_callsign
531,frame39,TGW791,use_callsign
532,frame40,AXM272,use_callsign
533,frame40,EVA707,use_callsign
534,frame40,SIA966,use_callsign
535,frame40,GIA721,use_callsign
536,frame40,JSA450,use_callsign
537,frame40,THA935,use_callsign
538,frame40,ANA979,use_callsign
539,frame40,SIA688,use_callsign
540,frame40,SIA162,use_callsign
541,frame40,JAL219,use_callsign
542,frame40,THA845,use_callsign
543,frame40,TGW578,use_callsign
544,frame40,MAS547,use_callsign
545,frame40,CPA633,use_callsign
546,frame40,PAL498,use_callsign
547,frame40,GIA730,use_callsign
548,frame40,TGW791,use_callsign
549,frame41,AXM272,use_callsign
550,frame41,EVA707,use_callsign
551,frame41,SIA966,use_callsign
552,frame41,GIA721,use_callsign
553,frame41,JSA450,use_callsign
554,frame41,THA935,use_callsign
555,frame41,ANA979,use_callsign
556,frame41,SIA688,use_callsign
557,frame41,SIA162,use_callsign
558,frame41,JAL219,use_callsign
559,frame41,THA845,use_callsign
560,frame41,TGW578,use_callsign
561,frame41,MAS547,use_callsign
562,frame41,CPA633,use_callsign
563,frame41,GIA730,use_callsign
564,frame41,PAL498,use_callsign
565,frame41,TGW791,use_callsign
566,frame42,AXM272,use_callsign
567,frame42,EVA707,use_callsign
568,frame42,SIA966,use_callsign
569,frame42,GIA721,use_callsign
570,frame42,JSA450,use_callsign
571,frame42,THA935,use_callsign
572,frame42,ANA979,use_callsign
573,frame42,SIA688,use_callsign
574,frame42,SIA162,use_callsign
575,frame42,THA845,use_callsign
576,frame42,JAL219,use_callsign
577,frame42,MAS547,use_callsign
578,frame42,TGW578,use_callsign
579,frame42,GIA730,use_callsign
580,frame42,CPA633,use_callsign
581,frame42,PAL498,use_callsign
582,frame42,TGW791,use_callsign
583,frame43,AXM272,use_callsign
584,frame43,EVA707,use_callsign
585,frame43,SIA966,use_callsign
586,frame43,GIA721,use_callsign
587,frame43,JSA450,use_callsign
588,frame43,THA935,use_callsign
589,frame43,ANA979,use_callsign
590,frame43,SIA688,use_callsign
591,frame43,THA845,use_callsign
592,frame43,SIA162,use_callsign
593,frame43,JAL219,use_callsign
594,frame43,MAS547,use_callsign
595,frame43,TGW578,use_callsign
596,frame43,GIA730,use_callsign
597,frame43,CPA633,use_callsign
598,frame43,PAL498,use_callsign
599,frame43,TGW791,use_callsign
600,frame44,AXM272,use_callsign
601,frame44,EVA707,use_callsign
602,frame44,SIA966,use_callsign
603,frame44,GIA721,use_callsign
604,frame44,JSA450,use_callsign
605,frame44,THA935,use_callsign
606,frame44,ANA979,use_callsign
607,frame44,SIA688,use_callsign
608,frame44,THA845,use_callsign
609,frame44,SIA162,use_callsign
610,frame44,JAL219,use_callsign
611,frame44,MAS547,use_callsign
612,frame44,TGW578,use_callsign
613,frame44,GIA730,use_callsign
